GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,21,0,0,0,6,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,73,0,4,0,21,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,70,0,4,0,21,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,73,0,4,0,21,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,12,54,2,2,4,16,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,73,0,4,0,21,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,12,61,2,2,4,17,2,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,0,74,0,0,0,18,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,78,0,0,0,19,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,CustomUserDetailsService,0,44,0,2,0,11,0,4,0,3
spring-boot-skeleton,com.nnk.springboot.service,RatingService,0,66,0,0,0,16,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,BidListService,0,86,0,0,0,21,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,0,62,0,0,0,15,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,UserService,6,60,0,0,0,15,1,6,1,6
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,0,67,0,0,0,24,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.config,PasswordHashPrinter,0,20,0,0,0,7,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.config,PasswordConfig,0,7,0,0,0,2,0,2,0,2
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,53,0,0,0,18,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,73,0,0,0,24,0,16,0,16
spring-boot-skeleton,com.nnk.springboot.domain,BidList,0,85,0,0,0,27,0,22,0,22
spring-boot-skeleton,com.nnk.springboot.domain,Trade,91,68,0,0,39,30,26,18,26,18
spring-boot-skeleton,com.nnk.springboot.domain,User,0,38,0,0,0,16,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,0,43,0,0,0,15,0,10,0,10
